X,Y,OBJECTID,Unit_ID,Plant_ID,Unit,Unit_MW,Resource_ID,Start_Date,Retire_Date,Primary_Energy,PM_ID,Prime_Mover_Description,Prime_Move_Category
-121.414626365832135,40.757613555258949,9579,H0238GEN1,H0238,GEN1,1.1,HATLOS_6_LSCRK,1989-10-09T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.722570359787881,40.857912823022701,9580,H0240GEN1,H0240,GEN1,3,SPBURN_7_SNOWMT,1990-03-28T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-123.434586662071538,40.369783457341633,9581,H0241GEN 1,H0241,GEN 1,1,LOWGAP_7_MATHEW,1983-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-123.434513965907172,40.369828383266395,9582,H0241GEN 2,H0241,GEN 2,1,LOWGAP_7_MATHEW,1983-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-114.737862148681117,36.017035895084682,9583,H0242154,H0242,154,1040,SCEHOV_2_HOOVER,1936-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-114.736422170840228,36.015562401258045,9584,H02428902,H0242,8902,1040,SCEHOV_2_HOOVER,1936-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.535641916754329,39.078946518427529,9585,H02431641,H0243,1641,1.46,INDVLY_1_UNITS,1983-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.535590702901644,39.078898735109902,9586,H02431642,H0243,1642,1.46,INDVLY_1_UNITS,1983-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.535544483681988,39.078767325589517,9587,H02438332,H0243,8332,0.09,INDVLY_1_UNITS,1983-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.965488334953776,40.401031030857958,9588,H02441,H0244,1,7.65,INSKIP_2_UNIT,1979-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.436828680890471,41.933056100011179,9589,H02451,H0245,1,18,,1962-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.975295140502539,40.992268876730151,9590,H0250Unit 501,H0250,Unit 501,86,BLACK_7_UNIT 1,1965-12-17T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.97506414052387,40.992327366365842,9591,H0250Unit 502,H0250,Unit 502,86,BLACK_7_UNIT 2,1965-12-17T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.53180238865005,38.834051177459372,9592,H0253Unit 1,H0253,Unit 1,77,,1961-04-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.531922591319926,38.83421966184418,9593,H0253Unit 2,H0253,Unit 2,77,,1968-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.381935849725807,38.850301425369885,9594,H0255Unit 1,H0255,Unit 1,11.5,,1985-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.627006691489854,40.647034529276553,9595,H0257UNIT 1,H0257,UNIT 1,77.2,,1963-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.626864004886755,40.646827758593645,9596,H0257UNIT 2,H0257,UNIT 2,77.2,,1963-07-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-118.86194992008997,36.465283349576694,9597,H02591,H0259,1,1,RECTOR_2_KAWH 1,1990-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-118.879743354877419,36.461651131841329,9598,H02602,H0260,2,1.8,RECTOR_2_KAWH 2,1929-09-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-118.835620433859717,36.48604906642538,9599,H02611,H0261,1,4.8,RECTOR_2_KAWH 3,1913-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.006985419129236,36.415510315923207,9600,H02621,H0262,1,20,RECTOR_2_QF,1990-03-16T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.49127309713856,39.531762974071384,9601,H02631,H0263,1,10,KELYRG_6_UNIT,1963-09-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.552923742839866,37.092433711138568,9602,H0265Unit 593,H0265,Unit 593,12.6,KERKH1_7_UNIT 1,1920-08-15T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.552806290811418,37.092485398266305,9603,H0265Unit 594,H0265,Unit 594,8.5,KERKH1_7_UNIT 2,1920-08-15T00:00:00.000Z,2013-04-01T00:00:00.000Z,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.552712166234244,37.092523604857057,9604,H0265Unit 595,H0265,Unit 595,12.6,KERKH1_7_UNIT 3,1920-08-15T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.558184784691804,37.071943106934668,9605,H0266Unit 932,H0266,Unit 932,155,KERKH2_7_UNIT 1,1983-05-06T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-118.796511588059431,35.440701675004512,9606,H0267Unit 596,H0267,Unit 596,11.5,KRNCNY_6_UNIT,1921-08-08T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-118.779655288352828,35.460365609033033,9607,H0268UNIT 1,H0268,UNIT 1,24.8,KERRGN_1_UNIT 1,1907-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.446564407242406,40.611757618112364,9608,H0270UNIT 1,H0270,UNIT 1,39,,1950-03-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.446320491286556,40.611757650163817,9609,H0270UNIT 2,H0270,UNIT 2,39,,1949-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.446095195609928,40.611753500528089,9610,H0270UNIT 3,H0270,UNIT 3,39,,1949-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.87326828501601,40.677966710339419,9611,H02711,H0271,1,1.5,KILARC_2_UNIT 1,1904-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.873190369639858,40.677906864929163,9612,H02712,H0271,2,1.5,KILARC_2_UNIT 1,1904-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.158803543516683,36.888151221863509,9613,H0272Unit 597,H0272,Unit 597,52,KINGRV_7_UNIT 1,1962-03-07T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.95347249115207,37.877735500335426,9614,H0274UNIT 1,H0274,UNIT 1,38.81,INTKEP_2_KIRKW1,1967-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.953285195110297,37.877650697339284,9615,H0274UNIT 2,H0274,UNIT 2,38.81,INTKEP_2_KIRKW2,1967-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.953116866995742,37.877574946843389,9616,H0274UNIT 3,H0274,UNIT 3,40.6,INTKEP_2_KIRKW3,1987-09-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.596443949159564,39.024715008159532,9617,H0275UNIT 1,H0275,UNIT 1,61,MIDFRK_7_UNIT 1,1966-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.596306840196064,39.024782335226156,9618,H0275UNIT 2,H0275,UNIT 2,55,MIDFRK_7_UNIT2,1966-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.44392455135231,37.669736251357214,9619,H02761,H0276,1,3,,1989-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.443882863234919,37.669696419996065,9620,H02762,H0276,2,1.2,,1989-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.443836044838946,37.66965256188616,9621,H0276117954,H0276,117954,3,,1989-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.443796780376204,37.669615816478014,9622,H0276342321,H0276,342321,1.2,,1989-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.453754339218065,33.855248229722314,9623,H02821,H0282,1,4.9,MIRLOM_7_MWDLKM,1980-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-123.185745308211565,39.197482181185606,9624,H0283G1,H0283,G1,1,UKIAH_7_LAKEMN,1987-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-123.185718089258458,39.197349496040587,9625,H0283G2,H0283,G2,2.5,UKIAH_7_LAKEMN,1987-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.328837187987176,41.280374351748328,9626,H028448-1,H0284,48-1,5,,1986-06-08T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.328837458380065,41.28033818999053,9627,H028448-2,H0284,48-2,5,,1986-06-08T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.793710375343935,40.725447468057297,9628,H02861,H0286,1,0.35,LEWSTN_7_UNIT 1,1964-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.570992536535556,39.698800717836789,9629,H02871,H0287,1,1,CLRKRD_6_LIMESD,1906-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.570989719418833,39.698729295882003,9630,H02872,H0287,2,1,CLRKRD_6_LIMESD,1906-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.324514057239611,38.982686215785691,9631,H0289Unit 1,H0289,Unit 1,82,,1971-09-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.172194599201347,38.042377000947027,9632,H02961,H0296,1,3,CONTRL_1_LUNDY,1911-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.486376817762661,34.231614329851524,9633,H02981,H0298,1,0.5,ETIWND_2_FONTNA,1947-07-21T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.489832283804063,37.454310721981273,9634,H03001,H0300,1,0.9,CURIS_1_QF,1983-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.432519768677224,37.368566974208051,9635,H03011,H0301,1,0.9,CURIS_1_QF,1983-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.899735073226694,37.056843576699983,9636,H0310980,H0310,980,3.74,STOREY_2_MDRCH2,1985-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.255985150586227,40.976404525113786,9637,H0311GEN1,H0311,GEN1,29.9,MALCHQ_7_UNIT 1,1988-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-119.337790282119371,37.220315162686916,9638,H0313UNIT 1,H0313,UNIT 1,187,MAMMTH_7_UNIT 2,1960-03-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.310106941391595,37.522086832134292,9639,H0316MCS-1,H0316,MCS-1,9,MCSWAN_6_UNITS,1967-07-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.920477447244025,40.874133932945995,9640,H0321UNIT 1,H0321,UNIT 1,7,COVERD_2_HCKHY1,1987-01-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.948369567284047,40.882091330021396,9641,H0322UNIT 1,H0322,UNIT 1,2,COVERD_2_RCKHY1,1987-01-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.44798222178818,40.801332612264595,9642,H0323UNIT 1,H0323,UNIT 1,2,HATLOS_6_BWDHY1,1987-01-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.329922312305342,37.523007646216413,9643,H0324Unit 598,H0324,Unit 598,10,MERCFL_6_UNIT,1930-07-21T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.444368578715796,37.477864994462379,9644,H03251,H0325,1,2.7,CRESSY_1_PARKER,1982-04-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-118.56923160124218,37.509915182106269,9645,H0328Unit 1,H0328,Unit 1,38,,1952-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.077316140467943,34.074071578135261,9646,H03311,H0331,1,0.8,SBERDO_6_MILLCK,1935-01-17T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.068481922012637,34.077243044885307,9647,H03321,H0332,1,0.25,SBERDO_6_MILLCK,1904-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.039518915830868,34.088088239908593,9648,H03333,H0333,3,1,SBERDO_6_MILLCK,1903-03-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.039516675432537,34.087995117890578,9649,H03334,H0333,4,1,SBERDO_6_MILLCK,1904-10-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.039513269919283,34.087894807574436,9650,H03335,H0333,5,1,SBERDO_6_MILLCK,1904-03-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.312080310102104,37.816518614040383,9651,H0336UNIT 1,H0336,UNIT 1,2.9,,1987-07-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.323200089495629,34.308069652900429,9652,H03371,H0337,1,10.93,MOJAVE_1_UNIT 1,1996-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.323079399938891,34.308032474450549,9653,H03372,H0337,2,10.93,MOJAVE_1_UNIT 2,1996-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.322951732269019,34.307997519836405,9654,H03373,H0337,3,10.93,MOJAVE_1_UNIT 3,1996-08-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.883337775859744,35.798593060895172,9655,H03411,H0341,1,3.98,OILFLD_7_QFUNTS,1987-07-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.883324571523417,35.798555384777138,9656,H03412,H0341,2,0.38,OILFLD_7_QFUNTS,1987-07-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.104273702995826,38.513601075367617,9657,H03431,H0343,1,5,MONTPH_7_UNIT 1,1983-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.104283585362253,38.513563762821306,9658,H03432,H0343,2,5,MONTPH_7_UNIT 2,1983-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-122.104295208663714,38.513523563458364,9659,H03433,H0343,3,1.5,MONTPH_7_UNIT 3,1983-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.932514486613542,39.272094970549404,9660,H03477P,H0347,7P,1,RIOOSO_1_QF,1985-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.271738063104095,39.236399284748124,9661,H0348Unit 553,H0348,Unit 553,12,NAROW1_2_UNIT,1942-12-29T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.869769450290647,40.992420453210372,9662,H03491,H0349,1,1.1,PIT5_7_NELSON,1988-12-20T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.653425627343651,39.448342785627432,9663,H0351Unit 1,H0351,Unit 1,3.6,BOWMN_6_HYDRO,1986-09-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.191652197309438,39.330835840539621,9664,H03521,H0352,1,157.5,COLGAT_7_UNIT 1,1970-03-12T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.191442113703829,39.330837887556378,9665,H03522,H0352,2,157.5,COLGAT_7_UNIT 2,1970-03-12T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.530166540347992,37.946586447674377,9666,H0353UNIT 1,H0353,UNIT 1,150,,1979-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.529991447021033,37.94655389893277,9667,H0353UNIT 2,H0353,UNIT 2,150,,1979-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.270367934666467,39.238982621332028,9668,H03541,H0354,1,46.75,NAROW2_2_UNIT,1970-06-05T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.000813507199183,38.391791822985226,9669,H0356GEN 1,H0356,GEN 1,2.75,SPICER_1_UNIT 1,1990-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.00073162037117,38.391834665764051,9670,H0356GEN 2,H0356,GEN 2,2.75,SPICER_1_UNIT 2,1990-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-120.000646699932403,38.391884649325995,9671,H0356GEN 3,H0356,GEN 3,0.5,SPICER_1_UNIT 3,1990-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.092982000188272,38.835181999559822,9672,H0357Unit 943,H0357,Unit 943,11.5,NWCSTL_7_UNIT 1,1986-10-28T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.220269178731996,38.637359340506016,9673,H0360UNIT 1,H0360,UNIT 1,6.75,,1955-05-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.220227743939517,38.637245495337361,9674,H0360UNIT 2,H0360,UNIT 2,6.75,,1955-06-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.095771735371102,39.53003300860491,9675,H03621,H0362,1,2,DEADCK_1_UNIT,1993-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.017382769181836,37.087313922624389,9676,H0363UNIT 1,H0363,UNIT 1,4.2,ONLLPP_6_UNIT 1,1968-01-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.017361824960972,37.08728435562859,9677,H0363UNIT 2,H0363,UNIT 2,4.2,ONLLPP_6_UNIT 2,1968-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.017345857406795,37.087263631493819,9678,H0363UNIT 3,H0363,UNIT 3,4.2,ONLLPP_6_UNIT 3,1967-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.017328252223862,37.087237851722769,9679,H0363UNIT 4,H0363,UNIT 4,4.2,ONLLPP_6_UNIT 4,1967-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.017320956107113,37.087226504321144,9680,H0363UNIT 5,H0363,UNIT 5,4.2,ONLLPP_6_UNIT 5,1968-02-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.017300785335735,37.08719611248133,9681,H0363UNIT 6,H0363,UNIT 6,4.2,ONLLPP_6_UNIT 6,1967-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.161377004025809,40.075344446848625,9682,H03641,H0364,1,1.4,BUCKCK_7_OAKFLT,1985-11-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-121.890705496470787,40.670597245139511,9683,H0371GEN1,H0371,GEN1,5,OLSEN_2_UNIT,1989-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
-117.256843010898152,34.084215220855135,9684,H03721,H0372,1,0.6,PADUA_2_ONTARO,1902-12-01T00:00:00.000Z,,WAT,HY,Hydraulic Turbine (conventional),HydraulicTurbine
